mode,round,slot,arch_name,model_dir,has_model,has_config
Grid,round_019,0,unet_sdf_7level,model_rounds/round_019/model_00_unet_sdf_7level,true,true
Grid,round_019,1,unet_v2_baseline,model_rounds/round_019/model_01_unet_v2_baseline,true,true
Grid,round_019,2,unet_v3,model_rounds/round_019/model_02_unet_v3,true,true
Grid,round_019,3,uno,model_rounds/round_019/model_03_uno,true,true
Grid,round_019,4,unet_sdf_7level,model_rounds/round_019/model_04_unet_sdf_7level,true,true
Grid,round_019,5,unet_v2_baseline,model_rounds/round_019/model_05_unet_v2_baseline,true,true
Grid,round_019,6,unet_v2_baseline,model_rounds/round_019/model_06_unet_v2_baseline,true,true
Grid,round_019,7,unet_v2_baseline,model_rounds/round_019/model_07_unet_v2_baseline,true,true
Grid,round_019,8,unet_v2_baseline,model_rounds/round_019/model_08_unet_v2_baseline,true,true
Grid,round_019,9,unet_v2_baseline,model_rounds/round_019/model_09_unet_v2_baseline,true,true
Grid,round_020,0,unet_v2_baseline,model_rounds/round_020/model_00_unet_v2_baseline,true,true
Grid,round_020,1,unet_v3,model_rounds/round_020/model_01_unet_v3,true,true
Grid,round_020,2,uno,model_rounds/round_020/model_02_uno,true,true
Grid,round_020,3,unet_v2_baseline,model_rounds/round_020/model_03_unet_v2_baseline,true,true
Grid,round_020,4,unet_v2_baseline,model_rounds/round_020/model_04_unet_v2_baseline,true,true
Grid,round_020,5,unet_v2_baseline,model_rounds/round_020/model_05_unet_v2_baseline,true,true
Grid,round_020,6,unet_v2_baseline,model_rounds/round_020/model_06_unet_v2_baseline,true,true
Grid,round_020,7,unet_v2_baseline,model_rounds/round_020/model_07_unet_v2_baseline,true,true
Grid,round_020,8,unet_v2_baseline,model_rounds/round_020/model_08_unet_v2_baseline,true,true
Grid,round_020,9,unet_v2_baseline,model_rounds/round_020/model_09_unet_v2_baseline,true,true



